Dataset,Configuration,Metric,Seed_13,Seed_42,Seed_87,Seed_123,Seed_2024,Mean,SD,CI95_Lower,CI95_Upper
Gas_Turbine,-KG,macro_f1,0.03846153842381657,0.48186528471942863,0.04761904757278911,0.01960784311764706,0.48717948692465485,0.21494664015166726,0.24630217501924687,-0.09082887505334558,0.5207221553566801
Gas_Turbine,-KG,latency_s,0.0024480210006004198,0.0035417600008076987,0.0028808399994159116,0.0028040180014795623,0.00389269599923864,0.0031134670003084464,0.000588074210877818,0.002383393484733951,0.0038435405158829417
Gas_Turbine,-coordination,accuracy,0.9599999999904,0.0699999999993,0.0499999999995,0.0199999999998,0.0499999999995,0.2299999999977,0.40847276530591725,-0.27710461752698473,0.7371046175223848
Gas_Turbine,-coordination,precision,0.0,0.0699999999993,0.0499999999995,0.0199999999998,0.0499999999995,0.03799999999962,0.027748873850745728,0.0035507459586938753,0.07244925404054611
Gas_Turbine,-coordination,recall,0.0,0.9999999998571428,0.9999999998,0.9999999995,0.9999999998,0.7999999997914286,0.447213595383363,0.24479999993617707,1.35519999964668
Gas_Turbine,-coordination,macro_f1,0.4897959181124531,0.06542056068530001,0.04761904757278911,0.01960784311764706,0.04761904757278911,0.13401248341219568,0.19956376017684496,-0.11373892836301885,0.3817638951874102
Gas_Turbine,-coordination,latency_s,0.002511391999141779,0.0024682519969064743,0.0028361620020586997,0.002500767000601627,0.00249319700000342,0.0025619539997424,0.00015410871459091465,0.0023706334334585785,0.0027532745660262216
Gas_Turbine,-meta-RL,accuracy,0.0399999999996,0.9299999999906999,0.9499999999905,0.0199999999998,0.9499999999905,0.57799999999422,0.5003698631962087,-0.04319164275082066,1.1991916427392608
Gas_Turbine,-meta-RL,precision,0.0399999999996,0.0,0.0,0.0199999999998,0.0,0.01199999999988,0.01788854381981943,-0.010207999999897919,0.03420799999965792
Gas_Turbine,-meta-RL,recall,0.99999999975,0.0,0.0,0.9999999995,0.0,0.39999999985,0.5477225572997702,-0.2799783524916183,1.0799783521916182
Gas_Turbine,-meta-RL,macro_f1,0.03846153842381657,0.48186528471942863,0.48717948692465485,0.01960784311764706,0.48717948692465485,0.3028587280220404,0.25006427640313184,-0.00758730415595904,0.6133047602000399
Gas_Turbine,-meta-RL,latency_s,0.002138763001712505,0.002028930001833942,0.0020453639986226335,0.002050787999469321,0.002759424998657778,0.002204654000059236,0.0003130652722662816,0.0018159944402622533,0.0025933135598562185
Gas_Turbine,A2C,accuracy,0.0399999999996,0.9299999999906999,0.9499999999905,0.9799999999901999,0.0499999999995,0.5899999999941,0.4978453575107867,-0.028057557448861736,1.2080575574370618
Gas_Turbine,A2C,precision,0.0399999999996,0.0,0.0,0.0,0.0499999999995,0.01799999999982,0.02489979919572847,-0.012912227742303158,0.04891222774194316
Gas_Turbine,A2C,recall,0.99999999975,0.0,0.0,0.0,0.9999999998,0.39999999991,0.5477225573819285,-0.279978352533615,1.079978352353615
Gas_Turbine,A2C,macro_f1,0.03846153842381657,0.48186528471942863,0.48717948692465485,0.4949494946945209,0.04761904757278911,0.310014970467042,0.2437793374434804,0.0073714696644528455,0.6126584712696312
